ID,Ape,Background,Eyes,Glasses,Jewelry,Headwear,Mouth,Outfit,Ape%,Background%,Eyes%,Glasses%,Jewelry%,Headwear%,Mouth%,Outfit%,Statistical Rarity,Inverse SR Rank,SR Percentile,Trait Count,Inverse TC Rarity,Sub-Rarity,Agg. RANK,Rarest Trait %,Rarest Trait Score,Rarity,Final Rank,Glitched?
1427,Golden,Gold Flakes,Golden Gaze,None,#WAGMI Chain,Gold Halo,Nothing,Black Tee,"0,03%","6,33%","0,03%","64,95%","0,56%","2,33%","65,90%","2,33%",0,3777,"100,00",6,"100,00","100,00",1,"0,03","100,00",100,1,N
3019,Unknown,Matrix,None,None,None,None,Nothing,Banana Game Suit,"0,13%","4,21%","0,21%","64,95%","62,75%","52,08%","65,90%","0,13%",0,3735,"98,89",3,"99,58","99,23",2,"0,13","97,24","98,56792991",2,N
2557,Unknown,Deep Green,None,None,None,None,Nothing,Banana Game Suit,"0,13%","6,43%","0,21%","64,95%","62,75%","52,08%","65,90%","0,13%",0,3722,"98,54",3,"99,58","99,06",3,"0,13","97,24","98,4532004",3,N
2345,Unknown,Deep Blue,None,None,None,None,Nothing,Banana Game Suit,"0,13%","7,73%","0,21%","64,95%","62,75%","52,08%","65,90%","0,13%",0,3714,"98,33",3,"99,58","98,95",4,"0,13","97,24","98,38259763",4,N
1026,Turned,Sunny Beach,None,Flower Power,None,None,Nothing,None,"2,20%","3,18%","0,21%","3,52%","62,75%","52,08%","65,90%","2,52%","0,000000000282",3558,"94,20",3,"99,58","96,89",91,"0,21","95,03","96,26931026",5,Y
1612,Whitney,Sunny Beach,Orange And Blue,Heart Sunglasses,Bitcoin Chain,None,Lollipop,Laurent Tee,"10,46%","3,18%","21,66%","4,42%","2,70%","52,08%","5,03%","0,03%",0,3763,"99,63",7,"87,45","93,54",96,"0,03","100,00","95,69369763",6,N
3136,Albert,Brick Wall,Brown And Orange,Pilot Sunglasses,Bitcoin Chain,Chef's Hat,Nothing,Das Eggenberg Tee,"10,83%","6,09%","10,38%","5,43%","2,70%","4,26%","65,90%","0,03%",0,3760,"99,55",7,"87,45","93,50",97,"0,03","100,00","95,66722159",7,N
807,Unknown,Red & Green Aura,None,Deal With It,None,None,Nothing,Banana Game Suit,"0,13%","6,80%","0,21%","5,03%","62,75%","52,08%","65,90%","0,13%",0,3772,"99,87",4,"85,84","92,85",115,"0,13","97,24","94,31411295",8,Y
2150,Turned,Space Gold,None,None,None,None,Nothing,Astronaut,"2,20%","2,07%","0,21%","64,95%","62,75%","52,08%","65,90%","0,79%","0,00000000107",3297,"87,29",3,"99,58","93,43",101,"0,21","95,03","93,96589485",9,Y
1313,Lou,Rainbow,Orange And Blue,Deal With It,#WAGMI Chain,ArtsyApes Cap,Pizza,Banana Bonanza Hoodie,"12,05%","9,56%","21,66%","5,03%","0,56%","4,05%","5,00%","3,04%",0,3708,"98,17",8,"97,62","97,90",47,"0,56","85,36","93,71770326",10,N
3097,Ham,Mountains,Purple And Green,Flower Power,Jägermeister Chain,Clown Wig,Pizza,Doctor's Outfit,"9,74%","5,61%","7,60%","3,52%","2,99%","2,57%","5,00%","0,74%",0,3767,"99,74",8,"97,62","98,68",11,"0,74","80,39","92,58119869",11,N
3157,Albert,Matrix,Grey And Yellow,Heart Sunglasses,Cross Earring,Santa Hat,Bubblegum,Clown Suit,"10,83%","4,21%","12,13%","4,42%","3,10%","0,77%","3,89%","1,32%",0,3771,"99,84",8,"97,62","98,73",7,"0,77","79,56","92,34030008",12,N
3411,Turned,Space Silver,None,None,None,None,Nothing,Astronaut,"2,20%","6,43%","0,21%","64,95%","62,75%","52,08%","65,90%","0,79%","0,00000000333",3036,"80,38",3,"99,58","89,98",262,"0,21","95,03","91,66247944",13,Y
1992,Turned,Bright Sky,None,None,None,None,Nothing,Astronaut,"2,20%","7,18%","0,21%","64,95%","62,75%","52,08%","65,90%","0,79%","0,00000000371",3007,"79,61",3,"99,58","89,59",287,"0,21","95,03","91,4065444",14,Y
814,Jeff,Gold Flakes,Blue And Orange,Pilot Sunglasses,Rose Necklace,Devil Horns,Nothing,SciFi Space Suit,"11,25%","6,33%","22,00%","5,43%","1,11%","3,10%","65,90%","0,42%",0,3670,"97,17",7,"87,45","92,31",128,"0,42","89,23","91,28234041",15,N
89,Lou,Abstract Red_Blue,Blue And Orange,Clear Lenses Round,Golden Eyebrow Piercing,Gold Halo,Lollipop,MVVD Hoodie,"12,05%","4,87%","22,00%","3,87%","2,62%","2,33%","5,03%","0,90%",0,3751,"99,31",8,"97,62","98,46",21,"0,9","75,97","90,96692648",16,N
125,Turned,Ones & Zeros,Loose,Orange Shades,Jägermeister Chain,Chef's Hat,Pizza,Keikogi,"2,20%","5,30%","2,09%","6,35%","2,99%","4,26%","5,00%","0,93%",0,3775,"99,95",8,"97,62","98,78",5,"0,93","75,14","90,9025348",17,N
719,Jeff,Abstract Red_Blue,Brown And Orange,Pilot Sunglasses,Double Ear Piercing,Jägermeister Chain,Respirator,ArtsyApes Basketball Jersey,"11,25%","4,87%","10,38%","5,43%","3,36%","2,07%","2,28%","0,93%",0,3766,"99,71",8,"97,62","98,66",12,"0,93","75,14","90,82310668",18,N
871,Gordo,Brick Wall,Purple And Green,Space Comms Gadget,Silver Necklace,Chef's Hat,Party Whistle,ArtsyApes Basketball Jersey,"10,19%","6,09%","7,60%","1,11%","4,82%","4,26%","5,35%","0,93%",0,3765,"99,68",8,"97,62","98,65",13,"0,93","75,14","90,81428133",19,N
1420,Juanita,Mountains,Orange And Blue,Green Cybernetic Visor,Silver Necklace,None,Party Whistle,Royal Outfit,"11,25%","5,61%","21,66%","1,62%","4,82%","52,08%","5,35%","0,45%","0,000000000133",3635,"96,24",7,"87,45","91,85",146,"0,45","88,40","90,69725329",20,N
1748,Robin,Sprayed Wall,Purple And Green,None,#WAGMI Chain,Jägermeister Antlers,Ganja,Black Waistcoat,"11,04%","5,30%","7,60%","64,95%","0,56%","2,07%","5,75%","1,46%",0,3729,"98,73",7,"87,45","93,09",109,"0,56","85,36","90,51410252",21,N
640,Albert,Matrix,Orange And Blue,Pilot Sunglasses,Cross Earring,Reverse Hat,Party Whistle,ArtsyApes Basketball Jersey,"10,83%","4,21%","21,66%","5,43%","3,10%","3,76%","5,35%","0,93%",0,3727,"98,68",8,"97,62","98,15",36,"0,93","75,14","90,47891817",22,N
1418,Juanita,Space Silver,Green And Orange,Green Cybernetic Visor,#WAGMI Chain,Captain's Hat,Nothing,Thorchain Hoodie,"11,25%","6,43%","13,66%","1,62%","0,56%","4,18%","65,90%","1,72%",0,3710,"98,23",7,"87,45","92,84",116,"0,56","85,36","90,34642093",23,N
1173,Whitney,Bright Sky,Purple And Green,Orange Shades,#WAGMI Chain,Clown Wig,Nothing,Black Waistcoat,"10,46%","7,18%","7,60%","6,35%","0,56%","2,57%","65,90%","1,46%",0,3700,"97,96",7,"87,45","92,71",119,"0,56","85,36","90,25816747",24,N
3213,Juanita,Red & Green Aura,Green And Orange,3D,None,Chef's Hat,Lollipop,Royal Outfit,"11,25%","6,80%","13,66%","3,71%","62,75%","4,26%","5,03%","0,45%","0,000000000235",3584,"94,89",7,"87,45","91,17",187,"0,45","88,40","90,24716062",25,N
1385,Robin,Red & Green Aura,Brown And Orange,Heart Sunglasses,Double Ear Piercing,Jägermeister Cap,Cigarette,Rainbow Pin Suit & Tie,"11,04%","6,80%","10,38%","4,42%","3,36%","1,72%","2,78%","1,01%",0,3764,"99,66",8,"97,62","98,64",14,"1,01","72,93","90,06892265",26,N
3225,Ham,Brick Wall,Yellow And Blue,Deal With It,#WAGMI Chain,None,Bubblegum,White Tee Blue Shirt,"9,74%","6,09%","10,22%","5,03%","0,56%","52,08%","3,89%","2,09%",0,3676,"97,33",7,"87,45","92,39",125,"0,56","85,36","90,04635916",27,N
1235,Robin,Deep Green,Yellow And Blue,Clear Lenses Round,Cross Necklace,Beer Helmet,Lollipop,Joker Suit,"11,04%","6,43%","10,22%","3,87%","3,18%","2,89%","5,03%","1,01%",0,3753,"99,36",8,"97,62","98,49",19,"1,01","72,93","89,97184384",28,N
1456,Ham,Ones & Zeros,Yellow And Blue,Flower Power,#WAGMI Chain,ArtsyApes Cap,Nothing,Stebo Tee,"9,74%","5,30%","10,22%","3,52%","0,56%","4,05%","65,90%","3,57%",0,3662,"96,96",7,"87,45","92,20",134,"0,56","85,36","89,92280431",29,N
1363,Gordo,Mountains,Green And Orange,Heart Sunglasses,Golden Eyebrow Piercing,ArtsyApes Cap,Lollipop,Rainbow Pin Suit & Tie,"10,19%","5,61%","13,66%","4,42%","2,62%","4,05%","5,03%","1,01%",0,3743,"99,10",8,"97,62","98,36",27,"1,01","72,93","89,88359038",30,N
43,Turned,Abstract White_Blue,Loose,Orange Shades,None,Orange Beanie,Lollipop,Captain's Outfit,"2,20%","5,19%","2,09%","6,35%","62,75%","3,87%","5,03%","0,66%",0,3754,"99,39",7,"87,45","93,42",102,"0,66","82,60","89,81406951",31,N
1214,Albert,Sunny Beach,Brown And Orange,None,Double Ear Piercing,Santa Hat,Ganja,Captain's Outfit,"10,83%","3,18%","10,38%","64,95%","3,36%","0,77%","5,75%","0,66%",0,3733,"98,84",7,"87,45","93,14",106,"0,66","82,60","89,62873724",32,N
1120,Ham,Mountains,Blue And Orange,Deal With It,#WAGMI Chain,None,Bubblegum,ApeCoin Tee,"9,74%","5,61%","22,00%","5,03%","0,56%","52,08%","3,89%","3,10%","0,000000000211",3593,"95,13",7,"87,45","91,29",181,"0,56","85,36","89,31385541",33,N
1530,Ham,Deep Green,Brown And Orange,3D,Jägermeister Chain,Reverse Hat,Ganja,Guy Fieri Flame Shirt,"9,74%","6,43%","10,38%","3,71%","2,99%","3,76%","5,75%","1,09%",0,3745,"99,15",8,"97,62","98,38",26,"1,09","70,72","89,16470774",34,N
168,Jeff,Space Gold,Orange And Blue,Orange Shades,Golden Earring,Gold Crown,Respirator,Ripped Black Shirt,"11,25%","2,07%","21,66%","6,35%","3,79%","1,11%","2,28%","2,25%",0,3762,"99,60",8,"97,62","98,61",15,"1,11","70,17","89,13060529",35,N
1777,Ham,Deep Green,Green And Orange,Space Comms Gadget,Cross Earring,Captain's Hat,Bubblegum,Catchphrase Ripped Tee,"9,74%","6,43%","13,66%","1,11%","3,10%","4,18%","3,89%","1,51%",0,3761,"99,58",8,"97,62","98,60",16,"1,11","70,17","89,12177995",36,N
1522,Bruno,Abstract Red_Blue,Brown And Orange,Pilot Sunglasses,Cross Earring,Visor Cap,Party Whistle,Guy Fieri Flame Shirt,"10,83%","4,87%","10,38%","5,43%","3,10%","3,57%","5,35%","1,09%",0,3740,"99,02",8,"97,62","98,32",30,"1,09","70,72","89,12058101",37,N
2570,Robin,Deep Green,Green And Orange,Space Comms Gadget,Golden Nose Ring,Chef's Hat,Bubblegum,ArtsyApes Brains Longsleeve,"11,04%","6,43%","13,66%","1,11%","5,56%","4,26%","3,89%","1,43%",0,3750,"99,29",8,"97,62","98,45",22,"1,11","70,17","89,02470114",38,N
1893,Jeff,Abstract Red_Blue,Brown And Orange,Space Comms Gadget,Silver Necklace,Chef's Hat,Cigar,_APES_ Sweater,"11,25%","4,87%","10,38%","1,11%","4,82%","4,26%","4,00%","3,02%",0,3747,"99,21",8,"97,62","98,41",24,"1,11","70,17","88,9982251",39,N
2498,Ham,Sunny Beach,Grey And Yellow,None,Golden Earring,Captain's Hat,Cigar,Captain's Outfit,"9,74%","3,18%","12,13%","64,95%","3,79%","4,18%","4,00%","0,66%","0,000000000102",3657,"96,82",7,"87,45","92,14",135,"0,66","82,60","88,95801091",40,N
2295,Bruno,Stebo Tag Wall,Yellow And Blue,Orange Shades,None,Santa Hat,Bubblegum,ApeCoin Tee,"10,83%","0,74%","10,22%","6,35%","62,75%","0,77%","3,89%","3,10%",0,3728,"98,70",7,"87,45","93,08",110,"0,74","80,39","88,84807717",41,N
3170,Bruno,Half-Sprayed Wall,Green And Orange,Deal With It,Bitcoin Chain,Gold Crown,Ganja,Luna Tee,"10,83%","6,99%","13,66%","5,03%","2,70%","1,11%","5,75%","3,65%",0,3723,"98,57",8,"97,62","98,09",39,"1,11","70,17","88,78641678",42,N
621,Juanita,Ones & Zeros,Blue And Orange,Space Comms Gadget,Silver Necklace,Chef's Hat,Pizza,Ape College Jacket,"11,25%","5,30%","22,00%","1,11%","4,82%","4,26%","5,00%","2,49%",0,3720,"98,49",8,"97,62","98,05",40,"1,11","70,17","88,75994075",43,N
3207,Robin,Mountains,Yellow And Blue,Deal With It,Bitcoin Chain,Chef's Hat,Cigar,100 Emoji Swag Tee,"11,04%","5,61%","10,22%","5,03%","2,70%","4,26%","4,00%","1,14%",0,3746,"99,18",8,"97,62","98,40",25,"1,14","69,34","88,71319975",44,N
2455,Whitney,Rainbow,Purple And Green,Heart Sunglasses,None,Gold Halo,Party Whistle,Captain's Outfit,"10,46%","9,56%","7,60%","4,42%","62,75%","2,33%","5,35%","0,66%","0,000000000174",3613,"95,66",7,"87,45","91,55",165,"0,66","82,60","88,56969567",45,N
3735,Juanita,Stebo Tag Wall,Yellow And Blue,Orange Shades,Septum Piercing,Propeller Hat,Nothing,Guy Fieri Flame Shirt,"11,25%","0,74%","10,22%","6,35%","3,47%","4,02%","65,90%","1,09%",0,3695,"97,83",7,"87,45","92,64",120,"0,74","80,39","88,55684074",46,N
2278,Jeff,Stebo Tag Wall,Yellow And Blue,None,Silver Necklace,Beer Helmet,Ganja,White Plain Tee,"11,25%","0,74%","10,22%","64,95%","4,82%","2,89%","5,75%","1,30%",0,3692,"97,75",7,"87,45","92,60",121,"0,74","80,39","88,5303647",47,N
1899,Robin,Deep Green,Yellow And Blue,Orange Shades,None,Jägermeister Cap,None,Jägermeister Hoodie,"11,04%","6,43%","10,22%","6,35%","62,75%","1,72%","0,03%","1,69%",0,3773,"99,89",6,"65,63","82,76",572,"0,03","100,00","88,50986566",48,Y
1504,Turned,Red & Green Aura,Loose,Deal With It,Septum Piercing,ArtsyApes Cap,Cigar,Rich Old White Male Tee,"2,20%","6,80%","2,09%","5,03%","3,47%","4,05%","4,00%","1,19%",0,3774,"99,92",8,"97,62","98,77",6,"1,19","67,96","88,49997612",49,N
3113,Jeff,Space Silver,Green And Orange,Pilot Sunglasses,Jägermeister Chain,Orange Beanie,Cigarette,Derby Stars Turtleneck,"11,25%","6,43%","13,66%","5,43%","2,99%","3,87%","2,78%","1,16%",0,3738,"98,97",8,"97,62","98,29",31,"1,16","68,79","88,45846365",50,N
565,Gordo,Rainbow,Orange And Blue,Pilot Sunglasses,Silver Necklace,Gold Crown,Party Whistle,White Tee Blue Shirt,"10,19%","9,56%","21,66%","5,43%","4,82%","1,11%","5,35%","2,09%",0,3679,"97,41",8,"97,62","97,51",68,"1,11","70,17","88,39810154",51,N
3081,Lou,Rainbow,Blue And Orange,Orange Shades,Rose Necklace,Reverse Hat,Party Whistle,Ripped Black Shirt,"12,05%","9,56%","22,00%","6,35%","1,11%","3,76%","5,35%","2,25%",0,3671,"97,19",8,"97,62","97,41",72,"1,11","70,17","88,32749877",52,N
1265,Gordo,Deep Green,Grey And Yellow,Pilot Sunglasses,Golden Earring,Chef's Hat,Pizza,Go ***** Yourself Tee,"10,19%","6,43%","12,13%","5,43%","3,79%","4,26%","5,00%","1,16%",0,3713,"98,31",8,"97,62","97,96",44,"1,16","68,79","88,23782999",53,N
3533,Albert,Mountains,Blue And Orange,Clear Lenses Round,Cross Earring,Clown Wig,Bubblegum,Rich Old White Male Tee,"10,83%","5,61%","22,00%","3,87%","3,10%","2,57%","3,89%","1,19%",0,3741,"99,05",8,"97,62","98,33",29,"1,19","67,96","88,20873969",54,N
1101,Whitney,Bright Sky,Yellow And Blue,Orange Shades,Golden Eyebrow Piercing,Santa Hat,Nothing,Anarchy Jacket,"10,46%","7,18%","10,22%","6,35%","2,62%","0,77%","65,90%","1,01%",0,3682,"97,48",7,"87,45","92,47",122,"0,77","79,56","88,16591124",55,N
861,Unknown,Rainbow,"Blue Eyebrows, Orange Eyes",Orange Shades,None,None,Nothing,Banana Game Suit,"0,13%","9,56%","0,03%","6,35%","62,75%","52,08%","65,90%","0,13%",0,3776,"99,97",5,"63,89","81,93",576,"0,03","100,00","87,95386884",56,Y
112,Bruno,Stebo Tag Wall,Blue And Orange,None,Golden Earring,Orange Beanie,Pizza,ArtsyApes Tee,"10,83%","0,74%","22,00%","64,95%","3,79%","3,87%","5,00%","2,67%","0,000000000225",3590,"95,05",7,"87,45","91,25",184,"0,74","80,39","87,63017937",57,N
3349,Lou,Rainbow,Green And Orange,None,Cross Earring,Reverse Hat,Party Whistle,Captain's Outfit,"12,05%","9,56%","13,66%","64,95%","3,10%","3,76%","5,35%","0,66%","0,000000000421",3506,"92,82",7,"87,45","90,14",252,"0,66","82,60","87,6253836",58,N
2296,Robin,Bright Sky,Blue And Orange,None,Silver Necklace,Santa Hat,Party Whistle,Omega Hoodie,"11,04%","7,18%","22,00%","64,95%","4,82%","0,77%","5,35%","0,90%","0,000000000202",3601,"95,34",7,"87,45","91,40",174,"0,77","79,56","87,45105818",59,N
1004,Albert,Abstract Red_Blue,Orange And Blue,None,Golden Eyebrow Piercing,Santa Hat,Ganja,Blue Camo Shirt,"10,83%","4,87%","21,66%","64,95%","2,62%","0,77%","5,75%","2,44%","0,000000000209",3596,"95,21",7,"87,45","91,33",179,"0,77","79,56","87,40693145",60,N
3483,Albert,Matrix,Brown And Orange,None,Golden Earring,ArtsyApes Cap,Cigarette,Ripped Yellow Longsleeve,"10,83%","4,21%","10,38%","64,95%","3,79%","4,05%","2,78%","0,85%","0,000000000111",3651,"96,66",7,"87,45","92,06",138,"0,85","77,35","87,15579216",61,N
998,Bruno,Deep Green,Blue And Orange,Pilot Sunglasses,Golden Eyebrow Piercing,Santa Hat,Nothing,ApeCoin Tee,"10,83%","6,43%","22,00%","5,43%","2,62%","0,77%","65,90%","3,10%","0,000000000342",3533,"93,54",7,"87,45","90,50",226,"0,77","79,56","86,85093462",62,N
1470,Juanita,Deep Blue,Green And Orange,3D,Bitcoin Chain,Clown Wig,Nothing,Ripped Yellow Longsleeve,"11,25%","7,73%","13,66%","3,71%","2,70%","2,57%","65,90%","0,85%","0,000000000171",3615,"95,71",7,"87,45","91,58",163,"0,85","77,35","86,83807969",63,N
764,Turned,Space Silver,Loose,Clear Lenses Round,Cross Earring,Chef's Hat,Nothing,Rainbow Pin Suit & Tie,"2,20%","6,43%","2,09%","3,87%","3,10%","4,26%","65,90%","1,01%",0,3757,"99,47",7,"87,45","93,46",99,"1,01","72,93","86,61821222",64,N
445,Turned,Abstract White_Blue,Loose,None,Double Ear Piercing,Reverse Hat,Party Whistle,Rainbow Pin Suit & Tie,"2,20%","5,19%","2,09%","64,95%","3,36%","3,76%","5,35%","1,01%",0,3756,"99,44",7,"87,45","93,45",100,"1,01","72,93","86,60938687",65,N
2089,Albert,Half-Sprayed Wall,Grey And Yellow,Green Cybernetic Visor,None,Reverse Hat,Pizza,Omega Hoodie,"10,83%","6,99%","12,13%","1,62%","62,75%","3,76%","5,00%","0,90%","0,000000000158",3624,"95,95",7,"87,45","91,70",155,"0,9","75,97","86,45717448",66,N
3692,Ham,Red & Green Aura,Green And Orange,Clear Lenses Round,Double Ear Piercing,Propeller Hat,Nothing,Ripped Yellow Longsleeve,"9,74%","6,80%","13,66%","3,87%","3,36%","4,02%","65,90%","0,85%","0,000000000265",3569,"94,49",7,"87,45","90,97",198,"0,85","77,35","86,43211376",67,N
2690,Ham,Rainbow,Green And Orange,Heart Sunglasses,Septum Piercing,Luart Helmet,Nothing,Hazmat Suit,"9,74%","9,56%","13,66%","4,42%","3,47%","0,95%","65,90%","0,93%","0,000000000114",3647,"96,56",7,"87,45","92,00",139,"0,93","75,14","86,38395745",68,N
1585,Albert,Bright Sky,Green And Orange,Green Cybernetic Visor,Golden Nose Ring,Luart Helmet,Nothing,Black Turtleneck,"10,83%","7,18%","13,66%","1,62%","5,56%","0,95%","65,90%","1,48%",0,3667,"97,09",7,"87,45","92,27",130,"0,95","74,59","86,37633104",69,N
