ID,Ape,Background,Eyes,Glasses,Jewelry,Headwear,Mouth,Outfit,Ape%,Background%,Eyes%,Glasses%,Jewelry%,Headwear%,Mouth%,Outfit%,Statistical Rarity,Inverse SR Rank,SR Percentile,Trait Count,Inverse TC Rarity,Rarity,Final Rank,ID,Glitched?
1427,Golden,Gold Flakes,Golden Gaze,None,#WAGMI Chain,Gold Halo,Nothing,Black Tee,"0,03%","6,33%","0,03%","64,95%","0,56%","2,33%","65,90%","2,33%",0,3777,"100,00",6,Chart Breaker,"100,00",1,1427,N
3019,Unknown,Matrix,None,None,None,None,Nothing,Banana Game Suit,"0,13%","4,21%","0,21%","64,95%","62,75%","52,08%","65,90%","0,13%",0,3735,"98,89",3,"99,58","99,23",2,3019,N
2557,Unknown,Deep Green,None,None,None,None,Nothing,Banana Game Suit,"0,13%","6,43%","0,21%","64,95%","62,75%","52,08%","65,90%","0,13%",0,3722,"98,54",3,"99,58","99,06",3,2557,N
2345,Unknown,Deep Blue,None,None,None,None,Nothing,Banana Game Suit,"0,13%","7,73%","0,21%","64,95%","62,75%","52,08%","65,90%","0,13%",0,3714,"98,33",3,"99,58","98,95",4,2345,N
125,Turned,Ones & Zeros,Loose,Orange Shades,JÃ¤germeister Chain,Chef's Hat,Pizza,Keikogi,"2,20%","5,30%","2,09%","6,35%","2,99%","4,26%","5,00%","0,93%",0,3775,"99,95",8,"97,62","98,78",5,125,N
1504,Turned,Red & Green Aura,Loose,Deal With It,Septum Piercing,ArtsyApes Cap,Cigar,Rich Old White Male Tee,"2,20%","6,80%","2,09%","5,03%","3,47%","4,05%","4,00%","1,19%",0,3774,"99,92",8,"97,62","98,77",6,1504,N
3157,Albert,Matrix,Grey And Yellow,Heart Sunglasses,Cross Earring,Santa Hat,Bubblegum,Clown Suit,"10,83%","4,21%","12,13%","4,42%","3,10%","0,77%","3,89%","1,32%",0,3771,"99,84",8,"97,62","98,73",7,3157,N
919,Turned,Half-Sprayed Wall,Loose,Pilot Sunglasses,Cross Earring,Captain's Hat,Pizza,Blue Jacket,"2,20%","6,99%","2,09%","5,43%","3,10%","4,18%","5,00%","0,03",0,3770,"99,81",8,"97,62","98,72",8,919,N
2035,Turned,Brick Wall,Loose,Pilot Sunglasses,Silver Necklace,Visor Cap,Lollipop,Thorchain Hoodie & Jacket,"2,20%","6,09%","2,09%","5,43%","4,82%","3,57%","5,03%","2,65%",0,3769,"99,79",8,"97,62","98,70",9,2035,N
10,Turned,Bright Sky,Loose,Orange Shades,Silver Necklace,Captain's Hat,Lollipop,Thorchain Hoodie,"2,20%","7,18%","2,09%","6,35%","4,82%","4,18%","5,03%","1,72%",0,3768,"99,76",8,"97,62","98,69",10,10,N
3097,Ham,Mountains,Purple And Green,Flower Power,JÃ¤germeister Chain,Clown Wig,Pizza,Doctor's Outfit,"9,74%","5,61%","7,60%","3,52%","2,99%","2,57%","5,00%","0,74%",0,3767,"99,74",8,"97,62","98,68",11,3097,N
719,Jeff,Abstract Red_Blue,Brown And Orange,Pilot Sunglasses,Double Ear Piercing,JÃ¤germeister Antlers,Respirator,ArtsyApes Basketball Jersey,"11,25%","4,87%","10,38%","5,43%","3,36%","2,07%","2,28%","0,93%",0,3766,"99,71",8,"97,62","98,66",12,719,N
871,Gordo,Brick Wall,Purple And Green,Space Comms Gadget,Silver Necklace,Chef's Hat,Party Whistle,ArtsyApes Basketball Jersey,"10,19%","6,09%","7,60%","1,11%","4,82%","4,26%","5,35%","0,93%",0,3765,"99,68",8,"97,62","98,65",13,871,N
1385,Robin,Red & Green Aura,Brown And Orange,Heart Sunglasses,Double Ear Piercing,JÃ¤germeister Cap,Cigarette,Rainbow Pin Suit & Tie,"11,04%","6,80%","10,38%","4,42%","3,36%","1,72%","2,78%","1,01%",0,3764,"99,66",8,"97,62","98,64",14,1385,N
168,Jeff,Space Gold,Orange And Blue,Orange Shades,Golden Earring,Gold Crown,Respirator,Ripped Black Shirt,"11,25%","2,07%","21,66%","6,35%","3,79%","1,11%","2,28%","2,25%",0,3762,"99,60",8,"97,62","98,61",15,168,N
1777,Ham,Deep Green,Green And Orange,Space Comms Gadget,Cross Earring,Captain's Hat,Bubblegum,Catchphrase Ripped Tee,"9,74%","6,43%","13,66%","1,11%","3,10%","4,18%","3,89%","1,51%",0,3761,"99,58",8,"97,62","98,60",16,1777,N
